Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '208.73.210.29-TCP', 'biflow_src_port': 1089, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '208.73.210.29-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1089}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '192.168.88.121-UDP', 'biflow_src_port': 137, 'biflow_dst_port': 40103}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '130.239.18.172-TCP', 'biflow_src_port': 1039, 'biflow_dst_port': 6667} | Inverse filter: {'bihost_fwd_id': '130.239.18.172-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 6667, 'biflow_dst_port': 1039}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '195.113.232.98-TCP', 'biflow_src_port': 1040, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '195.113.232.98-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1040}
Collection: udp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '192.168.88.121-UDP', 'biflow_src_port': 137, 'biflow_dst_port': 59862} | Inverse filter: {'bihost_fwd_id': '192.168.88.121-UDP', 'bihost_bwd_id': '147.32.84.165-UDP', 'biflow_src_port': 59862, 'biflow_dst_port': 137}
Collection: udp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '192.168.88.121-UDP', 'biflow_src_port': 137, 'biflow_dst_port': 43717} | Inverse filter: {'bihost_fwd_id': '192.168.88.121-UDP', 'bihost_bwd_id': '147.32.84.165-UDP', 'biflow_src_port': 43717, 'biflow_dst_port': 137}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '74.125.232.193-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '74.125.232.193-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1027}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '82.96.64.4-TCP', 'biflow_src_port': 1037, 'biflow_dst_port': 6667} | Inverse filter: {'bihost_fwd_id': '82.96.64.4-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 6667, 'biflow_dst_port': 1037}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '195.113.232.90-TCP', 'biflow_src_port': 1043, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '195.113.232.90-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1043}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '74.125.232.200-TCP', 'biflow_src_port': 1027, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '74.125.232.200-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1027}
Collection: udp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '192.168.88.121-UDP', 'biflow_src_port': 137, 'biflow_dst_port': 57854} | Inverse filter: {'bihost_fwd_id': '192.168.88.121-UDP', 'bihost_bwd_id': '147.32.84.165-UDP', 'biflow_src_port': 57854, 'biflow_dst_port': 137}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '195.113.232.98-TCP', 'biflow_src_port': 1039, 'biflow_dst_port': 80} | Inverse filter: {'bihost_fwd_id': '195.113.232.98-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 80, 'biflow_dst_port': 1039}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '78.40.125.4-TCP', 'biflow_src_port': 1040, 'biflow_dst_port': 6667} | Inverse filter: {'bihost_fwd_id': '78.40.125.4-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 6667, 'biflow_dst_port': 1040}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '91.212.135.158-TCP', 'biflow_src_port': 1037, 'biflow_dst_port': 5678} | Inverse filter: {'bihost_fwd_id': '91.212.135.158-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 5678, 'biflow_dst_port': 1037}
Collection: udp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1038, 'biflow_dst_port': 53} | Inverse filter: {'bihost_fwd_id': '147.32.80.9-UDP', 'bihost_bwd_id': '147.32.84.165-UDP', 'biflow_src_port': 53, 'biflow_dst_port': 1038}
Collection: udp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '147.32.80.9-UDP', 'biflow_src_port': 1039, 'biflow_dst_port': 53} | Inverse filter: {'bihost_fwd_id': '147.32.80.9-UDP', 'bihost_bwd_id': '147.32.84.165-UDP', 'biflow_src_port': 53, 'biflow_dst_port': 1039}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '91.212.135.158-TCP', 'biflow_src_port': 1040, 'biflow_dst_port': 5678} | Inverse filter: {'bihost_fwd_id': '91.212.135.158-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 5678, 'biflow_dst_port': 1040}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '141.146.126.228-TCP', 'biflow_src_port': 1041, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '141.146.126.228-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1041}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.55.88.22-TCP', 'biflow_src_port': 1042, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '65.55.88.22-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1042}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '167.138.239.78-TCP', 'biflow_src_port': 1043, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '167.138.239.78-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1043}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '216.32.180.22-TCP', 'biflow_src_port': 1044, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '216.32.180.22-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1044}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.74.143.171-TCP', 'biflow_src_port': 1045, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '65.74.143.171-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1045}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '205.156.137.80-TCP', 'biflow_src_port': 1046, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '205.156.137.80-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1046}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '150.70.88.129-TCP', 'biflow_src_port': 1047, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '150.70.88.129-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1047}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '12.25.117.70-TCP', 'biflow_src_port': 1048, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '12.25.117.70-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1048}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '38.111.4.126-TCP', 'biflow_src_port': 1049, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '38.111.4.126-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1049}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '208.236.67.241-TCP', 'biflow_src_port': 1050, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '208.236.67.241-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1050}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.55.88.22-TCP', 'biflow_src_port': 1103, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '65.55.88.22-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1103}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.55.88.22-TCP', 'biflow_src_port': 1161, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '65.55.88.22-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1161}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '85.115.52.190-TCP', 'biflow_src_port': 1162, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '85.115.52.190-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1162}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '72.90.65.10-TCP', 'biflow_src_port': 1163, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '72.90.65.10-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1163}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '66.45.118.99-TCP', 'biflow_src_port': 1164, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '66.45.118.99-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1164}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '216.17.3.48-TCP', 'biflow_src_port': 1165, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '216.17.3.48-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1165}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '216.82.254.163-TCP', 'biflow_src_port': 1166, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '216.82.254.163-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1166}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '69.16.160.136-TCP', 'biflow_src_port': 1167, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '69.16.160.136-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1167}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '205.132.110.34-TCP', 'biflow_src_port': 1168, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '205.132.110.34-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1168}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '67.66.44.121-TCP', 'biflow_src_port': 1169, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '67.66.44.121-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1169}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '167.138.239.95-TCP', 'biflow_src_port': 1170, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '167.138.239.95-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1170}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '91.212.135.158-TCP', 'biflow_src_port': 1251, 'biflow_dst_port': 5678} | Inverse filter: {'bihost_fwd_id': '91.212.135.158-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 5678, 'biflow_dst_port': 1251}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '207.115.20.23-TCP', 'biflow_src_port': 1252, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '207.115.20.23-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1252}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '218.213.85.200-TCP', 'biflow_src_port': 1253, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '218.213.85.200-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1253}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '67.231.152.94-TCP', 'biflow_src_port': 1254, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '67.231.152.94-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1254}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '209.240.204.25-TCP', 'biflow_src_port': 1255, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '209.240.204.25-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1255}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '71.74.56.244-TCP', 'biflow_src_port': 1256, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '71.74.56.244-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1256}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '204.15.82.28-TCP', 'biflow_src_port': 1257, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '204.15.82.28-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1257}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '74.6.136.65-TCP', 'biflow_src_port': 1258, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '74.6.136.65-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1258}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '72.167.238.201-TCP', 'biflow_src_port': 1259, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '72.167.238.201-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1259}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '210.0.255.181-TCP', 'biflow_src_port': 1260, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '210.0.255.181-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1260}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '213.165.64.100-TCP', 'biflow_src_port': 1261, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '213.165.64.100-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1261}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '64.59.134.8-TCP', 'biflow_src_port': 1301, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '64.59.134.8-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1301}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '24.71.223.11-TCP', 'biflow_src_port': 1303, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '24.71.223.11-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1303}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '64.59.134.8-TCP', 'biflow_src_port': 1362, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '64.59.134.8-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1362}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '24.71.223.11-TCP', 'biflow_src_port': 1364, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '24.71.223.11-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1364}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '162.39.147.49-TCP', 'biflow_src_port': 1372, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '162.39.147.49-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1372}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '142.146.31.23-TCP', 'biflow_src_port': 1373, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '142.146.31.23-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1373}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.54.188.72-TCP', 'biflow_src_port': 1374, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '65.54.188.72-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1374}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '211.150.72.143-TCP', 'biflow_src_port': 1375, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '211.150.72.143-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1375}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '65.54.188.94-TCP', 'biflow_src_port': 1376, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '65.54.188.94-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1376}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '207.115.36.21-TCP', 'biflow_src_port': 1377, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '207.115.36.21-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1377}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '59.36.102.51-TCP', 'biflow_src_port': 1378, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '59.36.102.51-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1378}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '202.108.67.233-TCP', 'biflow_src_port': 1379, 'biflow_dst_port': 25} | Inverse filter: {'bihost_fwd_id': '202.108.67.233-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 25, 'biflow_dst_port': 1379}
Collection: tcp_biflows | No modification | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '91.212.135.158-TCP', 'biflow_src_port': 1459, 'biflow_dst_port': 5678} | Inverse filter: {'bihost_fwd_id': '91.212.135.158-TCP', 'bihost_bwd_id': '147.32.84.165-TCP', 'biflow_src_port': 5678, 'biflow_dst_port': 1459}
