Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '202.96.209.5-TCP', 'biflow_src_port': 1066, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.114.224-TCP', 'biflow_src_port': 1062, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1063, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1064, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 2 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '202.96.209.5-TCP', 'biflow_src_port': 1066, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1067, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1068, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1069, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.114.224-TCP', 'biflow_src_port': 1070, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1071, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1072, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.114.224-TCP', 'biflow_src_port': 1074, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1075, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '123.125.115.150-TCP', 'biflow_src_port': 1076, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1078, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1081, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1082, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1083, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1084, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1085, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.73.45.135-TCP', 'biflow_src_port': 1086, 'biflow_dst_port': 81}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.73.45.135-TCP', 'biflow_src_port': 1088, 'biflow_dst_port': 81}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.73.45.135-TCP', 'biflow_src_port': 1089, 'biflow_dst_port': 81}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.73.45.135-TCP', 'biflow_src_port': 1090, 'biflow_dst_port': 81}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1091, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.73.45.106-TCP', 'biflow_src_port': 1092, 'biflow_dst_port': 88}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1094, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1095, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '195.113.232.90-TCP', 'biflow_src_port': 1096, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1097, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1098, 'biflow_dst_port': 3389}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '218.83.161.9-UDP', 'biflow_src_port': 7100, 'biflow_dst_port': 9009}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.73.121.38-TCP', 'biflow_src_port': 1099, 'biflow_dst_port': 80}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.73.45.106-TCP', 'biflow_src_port': 1100, 'biflow_dst_port': 88}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1101, 'biflow_dst_port': 3389}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '58.60.15.39-UDP', 'biflow_src_port': 21920, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '58.60.14.37-UDP', 'biflow_src_port': 21921, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '219.133.60.36-UDP', 'biflow_src_port': 21922, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '183.60.49.33-UDP', 'biflow_src_port': 21923, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '183.60.48.103-UDP', 'biflow_src_port': 21924, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '183.60.49.30-UDP', 'biflow_src_port': 21925, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '219.133.49.171-UDP', 'biflow_src_port': 21926, 'biflow_dst_port': 8000}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1102, 'biflow_dst_port': 3389}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '183.60.16.12-UDP', 'biflow_src_port': 21927, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '112.90.138.160-UDP', 'biflow_src_port': 21928, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '112.90.86.181-UDP', 'biflow_src_port': 21929, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '58.60.15.39-UDP', 'biflow_src_port': 21930, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '183.60.49.124-UDP', 'biflow_src_port': 21931, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '58.60.14.37-UDP', 'biflow_src_port': 21932, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '183.60.16.16-UDP', 'biflow_src_port': 21933, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '219.133.60.36-UDP', 'biflow_src_port': 21934, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '183.60.16.15-UDP', 'biflow_src_port': 21935, 'biflow_dst_port': 8000}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1103, 'biflow_dst_port': 3389}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '219.133.49.171-UDP', 'biflow_src_port': 21936, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '183.60.16.15-UDP', 'biflow_src_port': 21937, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '112.90.138.160-UDP', 'biflow_src_port': 21938, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '112.90.86.181-UDP', 'biflow_src_port': 21939, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '58.60.15.39-UDP', 'biflow_src_port': 21940, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '112.95.240.134-UDP', 'biflow_src_port': 21941, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '58.60.14.37-UDP', 'biflow_src_port': 21942, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '183.60.48.103-UDP', 'biflow_src_port': 21943, 'biflow_dst_port': 8000}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1104, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.1-TCP', 'biflow_src_port': 1105, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.1-TCP', 'biflow_src_port': 1106, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.33.84.1-TCP', 'biflow_src_port': 1108, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.2-TCP', 'biflow_src_port': 1109, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.2-TCP', 'biflow_src_port': 1110, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.33.84.2-TCP', 'biflow_src_port': 1112, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.3-TCP', 'biflow_src_port': 1113, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.3-TCP', 'biflow_src_port': 1114, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.4-TCP', 'biflow_src_port': 1117, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.33.84.3-TCP', 'biflow_src_port': 1116, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.59-TCP', 'biflow_src_port': 1340, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.59-TCP', 'biflow_src_port': 1339, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.33.84.62-TCP', 'biflow_src_port': 1350, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.62-TCP', 'biflow_src_port': 1352, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.62-TCP', 'biflow_src_port': 1351, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.33.84.63-TCP', 'biflow_src_port': 1354, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.63-TCP', 'biflow_src_port': 1356, 'biflow_dst_port': 135}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '219.133.60.36-UDP', 'biflow_src_port': 21944, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '183.60.48.103-UDP', 'biflow_src_port': 21945, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '219.133.49.171-UDP', 'biflow_src_port': 21946, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '119.147.45.254-UDP', 'biflow_src_port': 21947, 'biflow_dst_port': 8000}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '222.189.228.111-TCP', 'biflow_src_port': 1561, 'biflow_dst_port': 3389}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.118-TCP', 'biflow_src_port': 1576, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.33.84.118-TCP', 'biflow_src_port': 1575, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.121-TCP', 'biflow_src_port': 1589, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.121-TCP', 'biflow_src_port': 1588, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.33.84.121-TCP', 'biflow_src_port': 1587, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.122-TCP', 'biflow_src_port': 1593, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.122-TCP', 'biflow_src_port': 1592, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.33.84.122-TCP', 'biflow_src_port': 1591, 'biflow_dst_port': 135}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '112.90.138.160-UDP', 'biflow_src_port': 21948, 'biflow_dst_port': 8000}
Collection: udp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-UDP', 'bihost_bwd_id': '112.90.86.183-UDP', 'biflow_src_port': 21949, 'biflow_dst_port': 8000}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.178-TCP', 'biflow_src_port': 1817, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.181-TCP', 'biflow_src_port': 1828, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.33.84.181-TCP', 'biflow_src_port': 1827, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.181-TCP', 'biflow_src_port': 1829, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.182-TCP', 'biflow_src_port': 1832, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.33.84.182-TCP', 'biflow_src_port': 1831, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '147.32.79.182-TCP', 'biflow_src_port': 1833, 'biflow_dst_port': 135}
Collection: tcp_biflows | Standard modification: 1 | Standard filter: {'bihost_fwd_id': '147.32.84.165-TCP', 'bihost_bwd_id': '192.168.0.183-TCP', 'biflow_src_port': 1836, 'biflow_dst_port': 135}
